# Rime table
#@/db_name	cn_en.txt
#@/db_type	tabledb
#@/tick	0
ENSO循环	ensoxunhuan
方块A	fangkuaia
方块J	fangkuaij
方块Q	fangkuaiq
方块K	fangkuaik
梅花A	meihuaa
梅花J	meihuaj
梅花Q	meihuaq
梅花K	meihuak
黑桃A	heitaoa
黑桃J	heitaoj
黑桃Q	heitaoq
黑桃K	heitaok
AAA级	AAAji	0
AA吧	AAba	0
AA制	AAzhi	0
AB型	ABxing	0
AB型血	ABxingxue	0
AB血型	ABxuexing	0
AD钙奶	ADgainai	0
ASCII码	ASCIIma	0
ATM机	ATMji	0
AV女优	AVnvyou	0
A班	Aban	0
A杯	Abei	0
A出口	Achukou	0
A点	Adian	0
A栋	Adong	0
A股	Agu	0
A和B	AheB	0
A级	Aji	0
A卡	Aka	0
A壳	Ake	0
A口	Akou	0
A款	Akuan	0
A楼	Alou	0
A面	Amian	0
Android版	Androidban	0
Android版本	Androidbanben	0
Android端	Androidduan	0
A盘	Apan	0
A片	Apian	0
A屏	Aping	0
A区	Aqu	0
A4腰	Asiyao	0
A4纸	Asizhi	0
A塔	Ata	0
A型	Axing	0
A型号	Axinghao	0
A型血	Axingxue	0
A血型	Axuexing	0
A杖	Azhang	0
A罩	Azhao	0
A罩杯	Azhaobei	0
A组	Azu	0
A座	Azuo	0
BB机	BBji	0
BOSS直聘	BOSSzhipin	0
Backspace键	Backspacejian	0
B班	Bban	0
B杯	Bbei	0
B超	Bchao	0
B出口	Bchukou	0
B点	Bdian	0
B栋	Bdong	0
Beta版	Betaban	0
Beta版本	Betabanben	0
B哥	Bge	0
B股	Bgu	0
Big胆	Bigdan	0
B级	Bji	0
B壳	Bke	0
B口	Bkou	0
B款	Bkuan	0
B淋巴细胞	Blinbaxibao	0
B楼	Blou	0
B面	Bmian	0
B盘	Bpan	0
B区	Bqu	0
B细胞	Bxibao	0
B型	Bxing	0
B型号	Bxinghao	0
B型血	Bxingxue	0
B血型	Bxuexing	0
B站	Bzhan	0
B罩	Bzhao	0
B罩杯	Bzhaobei	0
B组	Bzu	0
B座	Bzuo	0
CT检查	CTjiancha	0
CapsLock键	CapsLockjian	0
Caps键	Capsjian	0
C班	Cban	0
C杯	Cbei	0
C出口	Cchukou	0
C栋	Cdong	0
Chrome系	Chromexi	0
Chromium系	Chromiumxi	0
Cinity厅	Cinityting	0
C级	Cji	0
C壳	Cke	0
C口	Ckou	0
C款	Ckuan	0
C楼	Clou	0
C罗	Cluo	0
Cmd键	Cmdjian	0
C面	Cmian	0
Command键	Commandjian	0
Control键	Controljian	0
C盘	Cpan	0
C区	Cqu	0
Ctrl键	Ctrljian	0
C型	Cxing	0
C型号	Cxinghao	0
C语言	Cyuyan	0
C罩	Czhao	0
C罩杯	Czhaobei	0
C组	Czu	0
C座	Czuo	0
DDoS攻击	DDoSgongji	0
DJ版	DJban	0
DJ舞曲	DJwuqu	0
DNA检测	DNAjiance	0
DNS劫持	DNSjiechi	0
DNS污染	DNSwuran	0
DVD版	DVDban	0
D班	Dban	0
D杯	Dbei	0
D出口	Dchukou	0
D栋	Ddong	0
Delete键	Deletejian	0
Del键	Deljian	0
D级	Dji	0
D壳	Dke	0
D口	Dkou	0
D款	Dkuan	0
D楼	Dlou	0
D面	Dmian	0
DoS攻击	DoSgongji	0
Dock栏	Docklan	0
D盘	Dpan	0
D区	Dqu	0
D型	Dxing	0
D型号	Dxinghao	0
D罩	Dzhao	0
D罩杯	Dzhaobei	0
D之国	Dzhiguo	0
D之一族	Dzhiyizu	0
D组	Dzu	0
D座	Dzuo	0
E杯	Ebei	0
E出口	Echukou	0
E栋	Edong	0
Eject键	Ejectjian	0
E口	Ekou	0
E款	Ekuan	0
E楼	Elou	0
Enter键	Enterjian	0
E盘	Epan	0
E区	Equ	0
Esc键	Escjian	0
Eul的神圣法杖	Euldeshenshengfazhang	0
E型	Exing	0
E型号	Exinghao	0
E罩	Ezhao	0
E罩杯	Ezhaobei	0
E组	Ezu	0
E座	Ezuo	0
F杯	Fbei	0
F出口	Fchukou	0
F栋	Fdong	0
F口	Fkou	0
F款	Fkuan	0
F楼	Flou	0
Fn键	Fnjian	0
F盘	Fpan	0
F区	Fqu	0
F型	Fxing	0
F型号	Fxinghao	0
F罩	Fzhao	0
F罩杯	Fzhaobei	0
F组	Fzu	0
F座	Fzuo	0
G杯	Gbei	0
G点	Gdian	0
Go程	Gocheng	0
Go圣经	Goshengjing	0
Go语言	Goyuyan	0
G盘	Gpan	0
G胖	Gpang	0
G罩	Gzhao	0
G罩杯	Gzhaobei	0
H版	Hban	0
H杯	Hbei	0
H股	Hgu	0
H罩	Hzhao	0
H罩杯	Hzhaobei	0
ICP备案	ICPbeian	0
IE浏览器	IEliulanqi	0
IP电话	IPdianhua	0
IP地址	IPdizhi	0
IP卡	IPka	0
IT行业	IThangye	0
IT界	ITjie	0
IT业	ITye	0
J·K·罗琳	JKluolin	0
J·R·R·托尔金	JRRtuoerjin	0
J盘	Jpan	0
K宝	Kbao	0
K粉	Kfen	0
K歌	Kge	0
K歌王	Kgewang	0
K线	Kxian	0
K线图	Kxiantu	0
Lite版	Liteban	0
