#jei修正为jie
ajie	ajei
ijie	ijei
njie	njei
ojie	ojei
gjie	gjei
ejie	ejei
ujie	ujei
rjie	rjei
vjie	vjei
#len修正为leng
nleng	nlne
oleng	olne
gleng	glne
uleng	ulne
ileng	ilne
aleng	alne
eleng	elne
rleng	rlne
lenga	lena
lengb	lenb
lengc	lenc
lengd	lend
lengf	lenf
lengh	lenh
lengj	lenj
lengk	lenk
lengl	lenl
lengm	lenm
lengn	lenn
lengp	lenp
lengq	lenq
lengr	lenr
lengs	lens
lengt	lent
lengw	lenw
lengx	lenx
lengy	leny
lengz	lenz
#xai修正为xia
axia	axai
ixia	ixai
nxia	nxai
oxia	oxai
exia	exai
gxia	gxai
uxia	uxai
rxia	rxai
vxia	vxai
#spu修正为sou
asou	aspu
usou	uspu
osou	ospu
rsou	rspu
gsou	gspu
isou	ispu
esou	espu
nsou	nspu
adou	adpu
agou	agpu
ayou	aypu
idou	idpu
igou	igpu
ihou	ihpu
ikou	ikpu
iyou	iypu
izou	izpu
ndou	ndpu
nhou	nhpu
nkou	nkpu
nmou	nmpu
nrou	nrpu
ntou	ntpu
nyou	nypu
gtou	gtpu
ogou	ogpu
okou	okpu
otou	otpu
oyou	oypu
akou	akpu
alou	alpu
atou	atpu
ilou	ilpu
imou	impu
irou	irpu
itou	itpu
nlou	nlpu
nzou	nzpu
grou	grpu
gzou	gzpu
odou	odpu
ohou	ohpu
olou	olpu
orou	orpu
ozou	ozpu
ifou	ifpu
gdou	gdpu
gkou	gkpu
glou	glpu
gyou	gypu
edou	edpu
egou	egpu
ehou	ehpu
erou	erpu
etou	etpu
eyou	eypu
ezou	ezpu
ggou	ggpu
ghou	ghpu
udou	udpu
ugou	ugpu
uhou	uhpu
ukou	ukpu
ulou	ulpu
umou	umpu
utou	utpu
uyou	uypu
uzou	uzpu
omou	ompu
elou	elpu
ahou	ahpu
gmou	gmpu
urou	urpu
ucou	ucpu
amou	ampu
arou	arpu
gfou	gfpu
ekou	ekpu
rdou	rdpu
rgou	rgpu
rhou	rhpu
rlou	rlpu
rtou	rtpu
ryou	rypu
rzou	rzpu
azou	azpu
nfou	nfpu
emou	empu
epou	eppu
ncou	ncpu
efou	efpu
icou	icpu
vdou	vdpu
vhou	vhpu
vmou	vmpu
vrou	vrpu
vtou	vtpu
vyou	vypu
gcou	gcpu
ofou	ofpu
acou	acpu
ufou	ufpu
rkou	rkpu
rrou	rrpu
vzou	vzpu
ipou	ippu
npou	nppu
apou	appu
ecou	ecpu
opou	oppu
#siu修正为sou
asou	asiu
usou	usiu
osou	osiu
rsou	rsiu
gsou	gsiu
isou	isiu
esou	esiu
nsou	nsiu
agou	agiu
ayou	ayiu
igou	igiu
ihou	ihiu
ikou	ikiu
iyou	iyiu
izou	iziu
ngou	ngiu
nhou	nhiu
nkou	nkiu
nmou	nmiu
nrou	nriu
ntou	ntiu
nyou	nyiu
gtou	gtiu
ogou	ogiu
okou	okiu
otou	otiu
oyou	oyiu
akou	akiu
atou	atiu
imou	imiu
irou	iriu
itou	itiu
nzou	nziu
grou	griu
gzou	gziu
ohou	ohiu
orou	oriu
ozou	oziu
ifou	ifiu
gkou	gkiu
gyou	gyiu
egou	egiu
ehou	ehiu
erou	eriu
etou	etiu
eyou	eyiu
ezou	eziu
